loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_f1_macro,eval_precision_macro,eval_recall_macro,eval_best_thresh,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7661949793497721,7.330969333648682,6.5277777777777784e-06,1.0,48,,,,,,,,,,,,,
,,,1.0,48,0.5881192088127136,0.258742881841493,0.16472544065696468,0.8800529100529101,0.39999999999999997,13.2323,7.179,0.907,,,,,
0.7353320916493734,7.563693046569824,1.3194444444444446e-05,2.0,96,,,,,,,,,,,,,
,,,2.0,96,0.510023832321167,0.33831443560691593,0.25711120235795887,0.6792793358010749,0.5499999999999999,13.0749,7.266,0.918,,,,,
0.6452006896336874,14.257658004760742,1.9861111111111114e-05,3.0,144,,,,,,,,,,,,,
,,,3.0,144,0.4461055099964142,0.3872601540771467,0.32592029745024303,0.6469232699667482,0.5999999999999999,12.9938,7.311,0.924,,,,,
0.48420576254526776,37.98857879638672,1.927469135802469e-05,4.0,192,,,,,,,,,,,,,
,,,4.0,192,0.4053157567977905,0.4513218800060905,0.48008817821690797,0.5554541191497713,0.7,13.0862,7.26,0.917,,,,,
0.39913169542948407,12.91972827911377,1.853395061728395e-05,5.0,240,,,,,,,,,,,,,
,,,5.0,240,0.3744661509990692,0.5206202194124587,0.503558659931209,0.5945072882029404,0.6499999999999999,12.9854,7.316,0.924,,,,,
0.3054346442222595,22.583602905273438,1.779320987654321e-05,6.0,288,,,,,,,,,,,,,
,,,6.0,288,0.3501984775066376,0.5530717962272773,0.5102990255931432,0.6754840328753372,0.6499999999999999,13.0886,7.258,0.917,,,,,
0.2514684001604716,6.544981479644775,1.705246913580247e-05,7.0,336,,,,,,,,,,,,,
,,,7.0,336,0.30959057807922363,0.5823221296741717,0.5405327655966601,0.6853749712445365,0.6499999999999999,13.1043,7.25,0.916,,,,,
0.209393580754598,10.119711875915527,1.631172839506173e-05,8.0,384,,,,,,,,,,,,,
,,,8.0,384,0.33628541231155396,0.5900805050943713,0.6210947239894609,0.6272321559278081,0.7,13.0157,7.299,0.922,,,,,
0.19542932510375977,2.1710026264190674,1.5570987654320986e-05,9.0,432,,,,,,,,,,,,,
,,,9.0,432,0.3462613821029663,0.61358119524745,0.553574558224713,0.7148896835853357,0.5999999999999999,13.131,7.235,0.914,,,,,
0.1466450889905294,3.8514771461486816,1.4830246913580248e-05,10.0,480,,,,,,,,,,,,,
,,,10.0,480,0.4108932912349701,0.6239779901350765,0.6705541090578108,0.6313038249994771,0.7,13.1232,7.239,0.914,,,,,
0.13261759281158447,5.676057815551758,1.4089506172839507e-05,11.0,528,,,,,,,,,,,,,
,,,11.0,528,0.37313252687454224,0.6393926953948984,0.6095586319277202,0.7124822761779284,0.5999999999999999,13.1051,7.249,0.916,,,,,
0.11923535664876302,8.444679260253906,1.3348765432098767e-05,12.0,576,,,,,,,,,,,,,
,,,12.0,576,0.3747859299182892,0.6304197019999656,0.6688170652876535,0.643892966936445,0.7,13.1167,7.243,0.915,,,,,
0.10237797101338704,6.986271381378174,1.2608024691358025e-05,13.0,624,,,,,,,,,,,,,
,,,13.0,624,0.4409506022930145,0.6356130309585085,0.6985920952511342,0.6206828115523767,0.7,13.0753,7.266,0.918,,,,,
0.09215814868609111,17.271493911743164,1.1867283950617285e-05,14.0,672,,,,,,,,,,,,,
,,,14.0,672,0.4872007966041565,0.6506350885901774,0.6874046324046325,0.6602090260785913,0.6499999999999999,13.2664,7.161,0.905,,,,,
0.07375255723794301,5.648343563079834,1.1126543209876543e-05,15.0,720,,,,,,,,,,,,,
,,,15.0,720,0.49387887120246887,0.6549097322361035,0.707093699139735,0.6577992136687788,0.7,13.0667,7.27,0.918,,,,,
0.060271029671033226,5.203114032745361,1.0385802469135803e-05,16.0,768,,,,,,,,,,,,,
,,,16.0,768,0.5061419606208801,0.6569425536808474,0.6851851851851852,0.6617044147478931,0.6499999999999999,13.0669,7.27,0.918,,,,,
0.05609374245007833,6.206418037414551,9.645061728395062e-06,17.0,816,,,,,,,,,,,,,
,,,17.0,816,0.5791097283363342,0.6587945719411846,0.7049864755127913,0.6499030679465463,0.6499999999999999,13.0421,7.284,0.92,,,,,
0.052626793583234154,2.977102518081665,8.904320987654322e-06,18.0,864,,,,,,,,,,,,,
,,,18.0,864,0.6146082282066345,0.6667026456046065,0.7209121250839519,0.6592301900997554,0.6499999999999999,13.12,7.241,0.915,,,,,
0.041837399204572044,8.762710571289062,8.16358024691358e-06,19.0,912,,,,,,,,,,,,,
,,,19.0,912,0.6268287897109985,0.6600348525104116,0.693250714427185,0.6686241294936948,0.6499999999999999,12.7705,7.439,0.94,,,,,
0.03873190532128016,9.500563621520996,7.42283950617284e-06,20.0,960,,,,,,,,,,,,,
,,,20.0,960,0.6002424955368042,0.6570007844195189,0.6901058201058201,0.6644177802873455,0.5999999999999999,12.835,7.402,0.935,,,,,
0.034050025045871735,2.3411998748779297,6.682098765432099e-06,21.0,1008,,,,,,,,,,,,,
,,,21.0,1008,0.6653035879135132,0.666017414428089,0.7354889221952041,0.6342970073404857,0.7,12.8952,7.367,0.931,,,,,
,,,21.0,1008,,,,,,,,,4712.4742,2.406,0.306,676294890969600.0,0.23534232283395434
