loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_f1_macro,eval_precision_macro,eval_recall_macro,eval_best_thresh,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.8029457728068033,5.649550437927246,6.5277777777777784e-06,1.0,48,,,,,,,,,,,,,
,,,1.0,48,0.6326944828033447,0.23483578716514952,0.17244918787867672,0.5866021257325607,0.49999999999999994,13.6507,6.959,0.879,,,,,
0.6859772205352783,8.597630500793457,1.3194444444444446e-05,2.0,96,,,,,,,,,,,,,
,,,2.0,96,0.534530520439148,0.29989433777383034,0.21423202853349327,0.7373812660769182,0.49999999999999994,13.0942,7.255,0.916,,,,,
0.6060561736424764,13.966120719909668,1.9861111111111114e-05,3.0,144,,,,,,,,,,,,,
,,,3.0,144,0.46463489532470703,0.3488182246413705,0.2696048607575806,0.7775774306209087,0.49999999999999994,13.0805,7.263,0.917,,,,,
0.48755160967508954,48.4598388671875,1.927469135802469e-05,4.0,192,,,,,,,,,,,,,
,,,4.0,192,0.4207845628261566,0.42822289407962477,0.3707389070451369,0.7134896584896584,0.5499999999999999,12.9115,7.358,0.929,,,,,
0.3787992000579834,9.43791675567627,1.853395061728395e-05,5.0,240,,,,,,,,,,,,,
,,,5.0,240,0.4067098796367645,0.4615549677924992,0.3959765474940912,0.6992303992303992,0.5499999999999999,13.2542,7.168,0.905,,,,,
0.3135804533958435,31.626394271850586,1.779320987654321e-05,6.0,288,,,,,,,,,,,,,
,,,6.0,288,0.3994196057319641,0.49319037296765417,0.4772675309440015,0.6524647092038396,0.6499999999999999,13.0567,7.276,0.919,,,,,
0.27081207434336346,11.021879196166992,1.705246913580247e-05,7.0,336,,,,,,,,,,,,,
,,,7.0,336,0.3441332280635834,0.5375418377283482,0.5167174844010111,0.6501283016500407,0.5999999999999999,13.1104,7.246,0.915,,,,,
0.23136486609776816,17.2880859375,1.631172839506173e-05,8.0,384,,,,,,,,,,,,,
,,,8.0,384,0.3486276865005493,0.5552651013512726,0.5348417023589437,0.6738825104042495,0.5999999999999999,13.0298,7.291,0.921,,,,,
0.20027043422063193,6.723713397979736,1.5570987654320986e-05,9.0,432,,,,,,,,,,,,,
,,,9.0,432,0.397578626871109,0.5718373905945063,0.5694148629148629,0.6368930505887028,0.5999999999999999,13.1034,7.25,0.916,,,,,
0.16991567611694336,4.021419048309326,1.4830246913580248e-05,10.0,480,,,,,,,,,,,,,
,,,10.0,480,0.42642146348953247,0.5700219596675554,0.5321694736174174,0.6922634209590731,0.5499999999999999,13.1631,7.217,0.912,,,,,
0.13815597693125406,5.425830841064453,1.4089506172839507e-05,11.0,528,,,,,,,,,,,,,
,,,11.0,528,0.4211175739765167,0.6171768493017594,0.6174001512190367,0.6558463517159169,0.6499999999999999,13.11,7.246,0.915,,,,,
0.13025604685147604,6.749655246734619,1.3348765432098767e-05,12.0,576,,,,,,,,,,,,,
,,,12.0,576,0.40657100081443787,0.6487718120550636,0.6326267301799111,0.6977684714641238,0.5999999999999999,13.0413,7.285,0.92,,,,,
0.10654700795809428,4.132168292999268,1.2608024691358025e-05,13.0,624,,,,,,,,,,,,,
,,,13.0,624,0.519381046295166,0.6386490845426701,0.6213310636613188,0.6928753372231634,0.5499999999999999,13.1609,7.218,0.912,,,,,
0.10101798176765442,6.042090892791748,1.1867283950617285e-05,14.0,672,,,,,,,,,,,,,
,,,14.0,672,0.5248627662658691,0.6316731982350642,0.6857115749525617,0.6215087730305122,0.6499999999999999,13.0604,7.274,0.919,,,,,
0.08277078469594319,8.775175094604492,1.1126543209876543e-05,15.0,720,,,,,,,,,,,,,
,,,15.0,720,0.6159887909889221,0.6198810137430103,0.6304853318791939,0.6340171905389298,0.5999999999999999,13.1603,7.219,0.912,,,,,
,,,15.0,720,,,,,,,,,3397.403,3.338,0.424,483067779264000.0,0.31373475193977357
