loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_f1_macro,eval_precision_macro,eval_recall_macro,eval_best_thresh,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7236541906992594,19.108518600463867,6.5277777777777784e-06,1.0,48,,,,,,,,,,,,,
,,,1.0,48,0.6183082461357117,0.16555750661392388,0.1626551812568762,0.2974913572739659,0.3,15.6752,6.061,0.383,,,,,
0.6487539211908976,4.735715389251709,1.3194444444444446e-05,2.0,96,,,,,,,,,,,,,
,,,2.0,96,0.5330955386161804,0.3633301733727806,0.350056865051827,0.5609600142208837,0.3,13.1388,7.231,0.457,,,,,
0.573593258857727,10.048787117004395,1.9861111111111114e-05,3.0,144,,,,,,,,,,,,,
,,,3.0,144,0.4547884166240692,0.40314871435824257,0.4322907647907647,0.4672165676513503,0.7,13.2126,7.19,0.454,,,,,
0.40541450182596844,22.143245697021484,1.927469135802469e-05,4.0,192,,,,,,,,,,,,,
,,,4.0,192,0.4208053946495056,0.451547300439637,0.44714077811102826,0.5860847526064917,0.5999999999999999,14.425,6.586,0.416,,,,,
0.3073824842770894,10.955714225769043,1.853395061728395e-05,5.0,240,,,,,,,,,,,,,
,,,5.0,240,0.39915943145751953,0.48460010577657636,0.4491362922429954,0.6272326787544179,0.44999999999999996,14.6499,6.485,0.41,,,,,
0.23262101411819458,12.704737663269043,1.779320987654321e-05,6.0,288,,,,,,,,,,,,,
,,,6.0,288,0.41233548521995544,0.5463711154053218,0.539797561536692,0.6344028274463057,0.44999999999999996,13.0304,7.291,0.46,,,,,
0.19287345806757608,2.772542715072632,1.705246913580247e-05,7.0,336,,,,,,,,,,,,,
,,,7.0,336,0.3516486585140228,0.5708059356300249,0.5450249188152002,0.6642325951021603,0.3,14.4207,6.588,0.416,,,,,
0.1520459552605947,13.686208724975586,1.631172839506173e-05,8.0,384,,,,,,,,,,,,,
,,,8.0,384,0.4209586977958679,0.5736936992303553,0.5865984886573121,0.6238285546981199,0.39999999999999997,13.6582,6.956,0.439,,,,,
0.13391893108685812,4.71816873550415,1.5570987654320986e-05,9.0,432,,,,,,,,,,,,,
,,,9.0,432,0.430633544921875,0.5889327612569523,0.5937478004498153,0.6159781040215823,0.3,13.5197,7.027,0.444,,,,,
0.11337130268414815,2.0139265060424805,1.4830246913580248e-05,10.0,480,,,,,,,,,,,,,
,,,10.0,480,0.4457755982875824,0.6026049165698161,0.6538822814612288,0.6023836710793232,0.5499999999999999,13.3216,7.131,0.45,,,,,
0.0919232467810313,5.9970502853393555,1.4089506172839507e-05,11.0,528,,,,,,,,,,,,,
,,,11.0,528,0.39782482385635376,0.6144272055785949,0.6531501050810514,0.6310200347156869,0.6499999999999999,13.3244,7.13,0.45,,,,,
0.07280969123045604,5.3283538818359375,1.3348765432098767e-05,12.0,576,,,,,,,,,,,,,
,,,12.0,576,0.4453570246696472,0.6337371305024339,0.6487583658171893,0.6583903214337996,0.3,13.0799,7.263,0.459,,,,,
0.05926924447218577,6.079317092895508,1.2608024691358025e-05,13.0,624,,,,,,,,,,,,,
,,,13.0,624,0.4883199632167816,0.6260349473223036,0.646546633468202,0.6456664993621515,0.39999999999999997,13.2016,7.196,0.454,,,,,
0.05747438967227936,6.107378005981445,1.1867283950617285e-05,14.0,672,,,,,,,,,,,,,
,,,14.0,672,0.5250706076622009,0.615084322548246,0.6492810381108253,0.6236799673756195,0.3,13.2058,7.194,0.454,,,,,
0.045351624488830566,9.150872230529785,1.1126543209876543e-05,15.0,720,,,,,,,,,,,,,
,,,15.0,720,0.550175130367279,0.6233314208528616,0.6654980966745672,0.6256443315138966,0.3,13.1556,7.221,0.456,,,,,
,,,15.0,720,,,,,,,,,3339.0829,3.396,0.431,483067779264000.0,0.2540304809808731
