loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_f1_macro,eval_precision_macro,eval_recall_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.4163963397343953,2.012549638748169,1.8083333333333334e-05,1.0,24,,,,,,,,,,,,
,,,1.0,24,0.29790395498275757,0.14585528269738796,0.28190476190476194,0.12622321317973492,21.8922,4.339,0.274,,,,,
0.25301772356033325,2.109217643737793,1.6083333333333336e-05,2.0,48,,,,,,,,,,,,
,,,2.0,48,0.24845445156097412,0.384943500943501,0.6370160884866768,0.34573989617467876,21.0658,4.51,0.285,,,,,
0.17687294880549112,2.5339462757110596,1.4083333333333336e-05,3.0,72,,,,,,,,,,,,
,,,3.0,72,0.2247747778892517,0.5034194623462916,0.6866666666666668,0.4325735536605101,21.0603,4.511,0.285,,,,,
0.11239661773045857,2.27620267868042,1.2083333333333333e-05,4.0,96,,,,,,,,,,,,
,,,4.0,96,0.20550166070461273,0.531834600082662,0.7324969847509893,0.465228362619667,21.1832,4.485,0.283,,,,,
0.06767723460992177,1.505666732788086,1.0083333333333334e-05,5.0,120,,,,,,,,,,,,
,,,5.0,120,0.2023468166589737,0.5453736116337743,0.6976760276760277,0.4856714058887972,21.2861,4.463,0.282,,,,,
0.04104925195376078,1.0683553218841553,8.083333333333334e-06,6.0,144,,,,,,,,,,,,
,,,6.0,144,0.20757155120372772,0.5510566972999479,0.7163995022690676,0.4891899244073157,21.1707,4.487,0.283,,,,,
0.027898927529652912,0.6337525844573975,6.083333333333333e-06,7.0,168,,,,,,,,,,,,
,,,7.0,168,0.21094763278961182,0.5409862144745865,0.7213816738816738,0.46805161826900943,21.6037,4.397,0.278,,,,,
0.02136409531037013,0.3936549723148346,4.083333333333334e-06,8.0,192,,,,,,,,,,,,
,,,8.0,192,0.2138577550649643,0.5527753030938639,0.7359990090424873,0.4810946863120776,21.1452,4.493,0.284,,,,,
0.01767866313457489,0.657168984413147,2.0833333333333334e-06,9.0,216,,,,,,,,,,,,
,,,9.0,216,0.21890762448310852,0.5538580375078072,0.7403225569164,0.48351359590490023,21.4006,4.439,0.28,,,,,
0.015800248831510544,0.6717845797538757,8.333333333333334e-08,10.0,240,,,,,,,,,,,,
,,,10.0,240,0.219098299741745,0.5527423687423687,0.7382089209952987,0.4818469292382336,21.2581,4.469,0.282,,,,,
,,,10.0,240,,,,,,,,6372.9007,0.593,0.038,322045186176000.0,0.11501520512004694
